Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,15,73908,6106306,Kern,McFarland Unified,McFarland Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,7,8,548,431,78.6%,485,88.5%,548,431,78.6%,485,88.5%,Y
2021-2022,15,73908,1530146,Kern,McFarland Unified,San Joaquin High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,52,45,86.5%,47,90.4%,50,44,88.0%,46,92.0%,Y
2021-2022,15,75168,6009468,Kern,El Tejon Unified,El Tejon Elementary,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,5,8,186,125,67.2%,147,79.0%,186,125,67.2%,147,79.0%,Y
2021-2022,15,75168,1530401,Kern,El Tejon Unified,Frazier Mountain High,Unified School District,High Schools (Public),Traditional,CEP,N,N/A,N/A,N,9,12,254,149,58.7%,172,67.7%,247,144,58.3%,167,67.6%,Y
2021-2022,15,75168,6009476,Kern,El Tejon Unified,Frazier Park Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,4,244,160,65.6%,177,72.5%,234,153,65.4%,170,72.6%,Y
2021-2022,15,75168,0000001,Kern,El Tejon Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.0%,0,0.0%,0,0,0.0%,0,0.0%,Y
2021-2022,16,10165,1630102,Kings,Kings County Office of Education,J. C. Montgomery,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N,N/A,N/A,N,7,12,23,23,100.0%,23,100.0%,22,22,100.0%,22,100.0%,Y
2021-2022,16,10165,6069298,Kings,Kings County Office of Education,Kings County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,P,12,303,176,58.1%,201,66.3%,247,150,60.7%,173,70.0%,Y
2021-2022,16,63875,6010276,Kings,Armona Union Elementary,Armona Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,4,526,431,81.9%,470,89.4%,515,421,81.7%,460,89.3%,Y
2021-2022,16,63875,0112698,Kings,Armona Union Elementary,California Virtual Academy at Kings,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,0840,Directly funded,Y,K,12,592,374,63.2%,406,68.6%,582,367,63.1%,397,68.2%,Y
2021-2022,16,63875,0101717,Kings,Armona Union Elementary,Crossroads Charter,Elementary School District,K-12 Schools (Public),Traditional,CEP,Y,0571,Locally funded,N,K,12,161,110,68.3%,129,80.1%,159,108,67.9%,127,79.9%,Y
2021-2022,16,63875,6010284,Kings,Armona Union Elementary,Parkview Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,5,8,420,340,81.0%,370,88.1%,420,340,81.0%,370,88.1%,Y
2021-2022,16,63883,6010292,Kings,Central Union Elementary,Akers Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,P,8,735,163,22.2%,326,44.4%,735,163,22.2%,326,44.4%,Y
2021-2022,16,63883,6010300,Kings,Central Union Elementary,Central Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,P,8,276,129,46.7%,147,53.3%,276,129,46.7%,147,53.3%,Y
2021-2022,16,63883,6010318,Kings,Central Union Elementary,R. J. Neutra,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,458,80,17.5%,202,44.1%,430,75,17.4%,189,44.0%,Y
2021-2022,16,63883,6010326,Kings,Central Union Elementary,Stratford Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,P,8,284,208,73.2%,224,78.9%,280,204,72.9%,220,78.6%,Y
2021-2022,16,63891,6010334,Kings,Corcoran Joint Unified,Bret Harte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,1,506,417,82.4%,440,87.0%,476,390,81.9%,411,86.3%,Y
2021-2022,16,63891,0110858,Kings,Corcoran Joint Unified,Corcoran Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,14,12,85.7%,12,85.7%,14,12,85.7%,12,85.7%,Y
2021-2022,16,63891,1632207,Kings,Corcoran Joint Unified,Corcoran High,Unified School District,High Schools (Public),Traditional,CEP,N,N/A,N/A,N,9,12,903,768,85.0%,818,90.6%,898,765,85.2%,813,90.5%,Y
2021-2022,16,63891,6010342,Kings,Corcoran Joint Unified,John C. Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,2,3,498,378,75.9%,396,79.5%,498,378,75.9%,396,79.5%,Y
2021-2022,16,63891,6010359,Kings,Corcoran Joint Unified,John Muir Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,6,8,784,670,85.5%,723,92.2%,784,670,85.5%,723,92.2%,Y
2021-2022,16,63891,1632140,Kings,Corcoran Joint Unified,Kings Lake Education Center,Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,10,12,45,33,73.3%,35,77.8%,22,18,81.8%,20,90.9%,Y
2021-2022,16,63891,6010367,Kings,Corcoran Joint Unified,Mark Twain Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,4,5,518,384,74.1%,398,76.8%,518,384,74.1%,398,76.8%,Y
2021-2022,16,63891,0122820,Kings,Corcoran Joint Unified,Mission Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,6,12,7,7,100.0%,7,100.0%,7,7,100.0%,7,100.0%,Y
2021-2022,16,63917,6108815,Kings,Hanford Elementary,George Washington Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,466,366,78.5%,367,78.8%,458,360,78.6%,361,78.8%,Y
2021-2022,16,63917,0110981,Kings,Hanford Elementary,Hamilton Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,409,347,84.8%,347,84.8%,398,340,85.4%,340,85.4%,Y
2021-2022,16,63917,6118459,Kings,Hanford Elementary,Hanford Elementary Community Day,Elementary School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,K,8,7,6,85.7%,6,85.7%,7,6,85.7%,6,85.7%,Y
2021-2022,16,63917,6010391,Kings,Hanford Elementary,Jefferson Academy,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,8,501,243,48.5%,246,49.1%,501,243,48.5%,246,49.1%,Y
2021-2022,16,63917,6112379,Kings,Hanford Elementary,John F. Kennedy Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,7,8,554,481,86.8%,482,87.0%,554,481,86.8%,482,87.0%,Y
2021-2022,16,63917,6118798,Kings,Hanford Elementary,Joseph M. Simas,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,513,300,58.5%,301,58.7%,505,296,58.6%,297,58.8%,Y
2021-2022,16,63917,6010409,Kings,Hanford Elementary,Lee Richmond Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,412,366,88.8%,368,89.3%,410,364,88.8%,366,89.3%,Y
2021-2022,16,63917,6010417,Kings,Hanford Elementary,Lincoln Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,366,349,95.4%,352,96.2%,358,341,95.3%,344,96.1%,Y
2021-2022,16,63917,6113609,Kings,Hanford Elementary,Martin Luther King Jr. Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,608,469,77.1%,475,78.1%,600,464,77.3%,469,78.2%,Y
2021-2022,16,63917,6010425,Kings,Hanford Elementary,Monroe Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,655,492,75.1%,493,75.3%,647,489,75.6%,490,75.7%,Y
2021-2022,16,63917,6010433,Kings,Hanford Elementary,Roosevelt Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,6,498,456,91.6%,458,92.0%,489,447,91.4%,449,91.8%,Y
2021-2022,16,63917,6010458,Kings,Hanford Elementary,Woodrow Wilson Junior High,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,7,8,557,421,75.6%,421,75.6%,557,421,75.6%,421,75.6%,Y
2021-2022,16,63925,1634245,Kings,Hanford Joint Union High,Earl F. Johnson High (Continuation),High School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,106,84,79.2%,97,91.5%,100,78,78.0%,91,91.0%,Y
2021-2022,16,63925,1630151,Kings,Hanford Joint Union High,Hanford Community Day,High School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,9,12,13,10,76.9%,10,76.9%,13,10,76.9%,10,76.9%,Y
2021-2022,16,63925,1634401,Kings,Hanford Joint Union High,Hanford High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,542",981,63.6%,"1,176",76.3%,"1,522",969,63.7%,"1,162",76.3%,Y
2021-2022,16,63925,0137901,Kings,Hanford Joint Union High,Hanford Online Charter,High School District,High Schools (Public),Traditional,N/A,Y,1997,Locally funded,N,9,12,140,83,59.3%,85,60.7%,138,82,59.4%,84,60.9%,Y
2021-2022,16,63925,1630169,Kings,Hanford Joint Union High,Hanford West High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,330",752,56.5%,892,67.1%,"1,316",745,56.6%,884,67.2%,Y
2021-2022,16,63925,0000001,Kings,Hanford Joint Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,100.0%,1,100.0%,1,1,100.0%,1,100.0%,Y
2021-2022,16,63925,0118919,Kings,Hanford Joint Union High,Sierra Pacific High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,010",414,41.0%,530,52.5%,986,401,40.7%,516,52.3%,Y
2021-2022,16,63933,6010466,Kings,Island Union Elementary,Island Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,Y,00D6,Locally funded,N,K,8,405,148,36.5%,169,41.7%,402,146,36.3%,167,41.5%,Y
2021-2022,16,63941,6010474,Kings,Kings River-Hardwick Union Elementary,Kings River-Hardwick Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,Y,00D7,Locally funded,N,K,8,815,176,21.6%,176,21.6%,804,175,21.8%,175,21.8%,Y
2021-2022,16,63958,0136556,Kings,Kit Carson Union Elementary,Kings Valley Academy II,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,1896,Directly funded,Y,K,12,"1,067",831,77.9%,885,82.9%,781,605,77.5%,653,83.6%,Y
2021-2022,16,63958,6010482,Kings,Kit Carson Union Elementary,Kit Carson Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,8,366,230,62.8%,263,71.9%,364,230,63.2%,262,72.0%,Y
2021-2022,16,63958,6113120,Kings,Kit Carson Union Elementary,Mid Valley Alternative Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Y,0088,Locally funded,N,K,8,51,37,72.5%,38,74.5%,51,37,72.5%,38,74.5%,Y
2021-2022,16,63966,6010508,Kings,Lakeside Union Elementary,Lakeside Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,CEP,N,N/A,N/A,N,K,8,235,205,87.2%,218,92.8%,233,203,87.1%,216,92.7%,Y
2021-2022,16,63974,0128702,Kings,Lemoore Union Elementary,Bridges Academy,Elementary School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,6,8,4,3,75.0%,4,100.0%,4,3,75.0%,4,100.0%,Y
2021-2022,16,63974,6118590,Kings,Lemoore Union Elementary,Cinnamon Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,492,290,58.9%,366,74.4%,492,290,58.9%,366,74.4%,Y
2021-2022,16,63974,0140368,Kings,Lemoore Union Elementary,Freedom Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,368,192,52.2%,258,70.1%,367,191,52.0%,257,70.0%,Y
2021-2022,16,63974,6069140,Kings,Lemoore Union Elementary,Lemoore Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,494,326,66.0%,383,77.5%,472,314,66.5%,368,78.0%,Y
2021-2022,16,63974,0100156,Kings,Lemoore Union Elementary,Lemoore University Elementary Charter,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,Y,0489,Locally funded,N,6,8,138,62,44.9%,85,61.6%,138,62,44.9%,85,61.6%,Y
2021-2022,16,63974,6111934,Kings,Lemoore Union Elementary,Liberty Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,673,386,57.4%,469,69.7%,673,386,57.4%,469,69.7%,Y
2021-2022,16,63974,6010532,Kings,Lemoore Union Elementary,Meadow Lane Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,510,324,63.5%,396,77.6%,495,318,64.2%,389,78.6%,Y
2021-2022,16,63974,6066666,Kings,Lemoore Union Elementary,P. W. Engvall Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,546,314,57.5%,391,71.6%,546,314,57.5%,391,71.6%,Y
2021-2022,16,63982,0000000,Kings,Lemoore Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Adult,3,3,100.0%,3,100.0%,0,0,0.0%,0,0.0%,Y
2021-2022,16,63982,1630011,Kings,Lemoore Union High,Jamison (Donald C.) High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,87,64,73.6%,68,78.2%,83,61,73.5%,64,77.1%,Y
2021-2022,16,63982,1635606,Kings,Lemoore Union High,Lemoore High,High School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,868",774,41.4%,938,50.2%,"1,823",759,41.6%,920,50.5%,Y
2021-2022,16,63982,0110205,Kings,Lemoore Union High,Lemoore Middle College High,High School District,High Schools (Public),Traditional,N/A,Y,1068,Directly funded,N,9,12,238,67,28.2%,90,37.8%,236,67,28.4%,90,38.1%,Y
2021-2022,16,63982,0136234,Kings,Lemoore Union High,Lemoore Online College Preparatory High,High School District,High Schools (Public),Traditional,N/A,Y,1877,Directly funded,N,9,12,136,57,41.9%,61,44.9%,134,57,42.5%,61,45.5%,Y
2021-2022,16,63990,0116699,Kings,Pioneer Union Elementary,Frontier Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,K,5,475,146,30.7%,176,37.1%,466,145,31.1%,174,37.3%,Y
2021-2022,16,63990,6010557,Kings,Pioneer Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,K,5,510,204,40.0%,225,44.1%,499,202,40.5%,222,44.5%,Y
2021-2022,16,63990,6110233,Kings,Pioneer Union Elementary,Pioneer Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,00D1,Locally funded,N,6,8,556,179,32.2%,216,38.8%,556,179,32.2%,216,38.8%,Y
2021-2022,16,73932,6010565,Kings,Reef-Sunset Unified,Avenal Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,K,5,655,574,87.6%,604,92.2%,645,566,87.8%,595,92.2%,Y
2021-2022,16,73932,1630953,Kings,Reef-Sunset Unified,Avenal High,Unified School District,High Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,9,12,762,675,88.6%,721,94.6%,750,665,88.7%,709,94.5%,Y
2021-2022,16,73932,6010573,Kings,Reef-Sunset Unified,Kettleman City Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,K,8,315,289,91.7%,301,95.6%,312,287,92.0%,299,95.8%,Y
2021-2022,16,73932,6109888,Kings,Reef-Sunset Unified,Reef Sunset Middle,Unified School District,Junior High Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,6,8,566,511,90.3%,549,97.0%,566,511,90.3%,549,97.0%,Y
2021-2022,16,73932,1630185,Kings,Reef-Sunset Unified,Reef-Sunset Secondary Community Day,Unified School District,District Community Day Schools,Community Day School,CEP,N,N/A,N/A,N,6,12,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,Y
2021-2022,16,73932,1630078,Kings,Reef-Sunset Unified,Sunrise High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,N,N/A,N/A,N,9,12,30,27,90.0%,27,90.0%,27,24,88.9%,24,88.9%,Y
2021-2022,16,73932,6118566,Kings,Reef-Sunset Unified,Tamarack Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,K,5,416,373,89.7%,403,96.9%,408,365,89.5%,395,96.8%,Y
2021-2022,17,10173,0128231,Lake,Lake County Office of Education,Clearlake Creativity,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,K,12,24,19,79.2%,21,87.5%,22,17,77.3%,19,86.4%,Y
2021-2022,17,10173,1730167,Lake,Lake County Office of Education,Lloyd Hance Community,County Office of Education (COE),County Community,County Community School,N/A,N,N/A,N/A,N,7,12,4,2,50.0%,2,50.0%,4,2,50.0%,2,50.0%,Y
2021-2022,17,64014,1730043,Lake,Kelseyville Unified,Ed Donaldson Education Center,Unified School District,Continuation High Schools,Continuation School,Provision 2,N,N/A,N/A,N,9,12,24,20,83.3%,20,83.3%,23,19,82.6%,19,82.6%,Y
2021-2022,17,64014,6010607,Lake,Kelseyville Unified,Kelseyville Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,K,5,566,392,69.3%,442,78.1%,553,386,69.8%,434,78.5%,Y
2021-2022,17,64014,1734359,Lake,Kelseyville Unified,Kelseyville High,Unified School District,High Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,9,12,539,314,58.3%,347,64.4%,515,300,58.3%,330,64.1%,Y
2021-2022,17,64014,0138537,Lake,Kelseyville Unified,Kelseyville Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,144,73,50.7%,80,55.6%,143,72,50.3%,79,55.2%,Y
2021-2022,17,64014,6107791,Lake,Kelseyville Unified,Mountain Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,6,8,360,225,62.5%,251,69.7%,360,225,62.5%,251,69.7%,Y
2021-2022,17,64014,6112759,Lake,Kelseyville Unified,Riviera Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,N/A,N/A,N,K,5,216,120,55.6%,139,64.4%,212,119,56.1%,138,65.1%,Y
2021-2022,17,64022,0107706,Lake,Konocti Unified,Blue Heron,Unified School District,Opportunity Schools,Opportunity School,N/A,N,N/A,N/A,N,9,11,6,6,100.0%,6,100.0%,6,6,100.0%,6,100.0%,Y
2021-2022,17,64022,6010615,Lake,Konocti Unified,Burns Valley,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,7,517,418,80.9%,452,87.4%,514,417,81.1%,451,87.7%,Y
2021-2022,17,64022,1730027,Lake,Konocti Unified,Carle (William C.) High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,59,50,84.7%,51,86.4%,42,37,88.1%,37,88.1%,Y
2021-2022,17,64022,6010623,Lake,Konocti Unified,East Lake,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,7,184,154,83.7%,168,91.3%,183,153,83.6%,167,91.3%,Y
2021-2022,17,64022,6057434,Lake,Konocti Unified,Highlands Academy,Unified School District,District Community Day Schools,Community Day School,CEP,N,N/A,N/A,N,2,8,4,3,75.0%,3,75.0%,4,3,75.0%,3,75.0%,Y
2021-2022,17,64022,0132571,Lake,Konocti Unified,Konocti Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,N,N/A,N/A,N,4,12,378,285,75.4%,300,79.4%,375,284,75.7%,299,79.7%,Y
2021-2022,17,64022,6084990,Lake,Konocti Unified,Lower Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,7,727,517,71.1%,555,76.3%,715,508,71.0%,546,76.4%,Y
2021-2022,17,64022,1735000,Lake,Konocti Unified,Lower Lake High,Unified School District,High Schools (Public),Traditional,CEP,N,N/A,N/A,N,8,12,994,662,66.6%,695,69.9%,964,641,66.5%,673,69.8%,Y
2021-2022,17,64022,0000001,Lake,Konocti Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,66.7%,2,66.7%,3,2,66.7%,2,66.7%,Y
2021-2022,17,64022,6109706,Lake,Konocti Unified,Pomo,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,7,645,505,78.3%,530,82.2%,639,500,78.2%,525,82.2%,Y
2021-2022,17,64022,1730118,Lake,Konocti Unified,Richard H. Lewis Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,246,194,78.9%,196,79.7%,243,193,79.4%,195,80.2%,Y
2021-2022,17,64030,1732304,Lake,Lakeport Unified,Clear Lake High,Unified School District,High Schools (Public),Traditional,CEP,N,N/A,N/A,N,9,12,389,194,49.9%,201,51.7%,375,188,50.1%,195,52.0%,Y
2021-2022,17,64030,1730142,Lake,Lakeport Unified,Lakeport Alternative (Home School),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,K,12,72,49,68.1%,50,69.4%,72,49,68.1%,50,69.4%,Y
2021-2022,17,64030,0114215,Lake,Lakeport Unified,Lakeport Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,N,N/A,N/A,N,6,10,10,9,90.0%,9,90.0%,10,9,90.0%,9,90.0%,Y
2021-2022,17,64030,6010631,Lake,Lakeport Unified,Lakeport Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,3,390,247,63.3%,272,69.7%,382,244,63.9%,267,69.9%,Y
2021-2022,17,64030,1730019,Lake,Lakeport Unified,Natural High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,23,15,65.2%,15,65.2%,20,12,60.0%,12,60.0%,Y
2021-2022,17,64030,6010649,Lake,Lakeport Unified,Terrace Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,4,8,502,299,59.6%,323,64.3%,502,299,59.6%,323,64.3%,Y
2021-2022,17,64048,6010656,Lake,Lucerne Elementary,Lucerne Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,CEP,N,N/A,N/A,N,K,8,289,230,79.6%,249,86.2%,285,226,79.3%,245,86.0%,Y
2021-2022,17,64055,0129601,Lake,Middletown Unified,California Connections Academy North Bay,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1653,Directly funded,Y,K,12,171,81,47.4%,87,50.9%,163,76,46.6%,82,50.3%,Y
2021-2022,17,64055,6105456,Lake,Middletown Unified,Cobb Mountain Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,131,57,43.5%,65,49.6%,131,57,43.5%,65,49.6%,Y
2021-2022,17,64055,6110761,Lake,Middletown Unified,Coyote Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,6,437,187,42.8%,223,51.0%,429,186,43.4%,222,51.7%,Y
2021-2022,17,64055,0108340,Lake,Middletown Unified,Lake County International Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,0681,Directly funded,Y,K,8,82,57,69.5%,60,73.2%,82,57,69.5%,60,73.2%,Y
2021-2022,17,64055,1730035,Lake,Middletown Unified,Loconoma Valley High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,11,12,15,11,73.3%,11,73.3%,14,10,71.4%,10,71.4%,Y
2021-2022,17,64055,1736008,Lake,Middletown Unified,Middletown High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,454,160,35.2%,205,45.2%,428,153,35.7%,194,45.3%,Y
2021-2022,17,64055,6107049,Lake,Middletown Unified,Middletown Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,8,233,99,42.5%,138,59.2%,233,99,42.5%,138,59.2%,Y
2021-2022,17,64055,6010672,Lake,Middletown Unified,Minnie Cannon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,182,112,61.5%,139,76.4%,182,112,61.5%,139,76.4%,Y
2021-2022,17,76976,1730050,Lake,Upper Lake Unified,Clover Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N,N/A,N/A,N,9,12,13,10,76.9%,11,84.6%,13,10,76.9%,11,84.6%,Y
2021-2022,17,76976,6010680,Lake,Upper Lake Unified,Upper Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N,N/A,N/A,N,K,5,377,271,71.9%,324,85.9%,371,268,72.2%,319,86.0%,Y
2021-2022,17,76976,1737006,Lake,Upper Lake Unified,Upper Lake High,Unified School District,High Schools (Public),Traditional,CEP,N,N/A,N/A,N,9,12,353,253,71.7%,295,83.6%,340,241,70.9%,282,82.9%,Y
2021-2022,17,76976,6108773,Lake,Upper Lake Unified,Upper Lake Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N,N/A,N/A,N,6,8,163,114,69.9%,141,86.5%,163,114,69.9%,141,86.5%,Y
2021-2022,18,10181,6069934,Lassen,Lassen County Office of Education,Lassen County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N,N/A,N/A,N,K,12,9,1,11.1%,1,11.1%,9,1,11.1%,1,11.1%,Y
2021-2022,18,64089,6010698,Lassen,Big Valley Joint Unified,Big Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,6,71,27,38.0%,29,40.8%,71,27,38.0%,29,40.8%,Y
2021-2022,18,64089,1831601,Lassen,Big Valley Joint Unified,Big Valley Jr. Sr. High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,7,12,50,23,46.0%,23,46.0%,49,22,44.9%,22,44.9%,Y
2021-2022,18,64105,6010730,Lassen,Janesville Union Elementary,Janesville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,N,N/A,N/A,N,K,8,349,143,41.0%,162,46.4%,345,142,41.2%,159,46.1%,Y
2021-2022,18,64113,6010748,Lassen,Johnstonville Elementary,Johnstonville Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,N,N/A,N/A,N,K,8,205,93,45.4%,106,51.7%,204,93,45.6%,106,52.0%,Y
