Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,01,75101,6108971,Alameda,Pleasanton Unified,Pleasanton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,"1,070",117,10.9%,137,12.8%,"1,070",117,10.9%,137,12.8%,Y
2020-2021,01,75101,6117592,Alameda,Pleasanton Unified,Thomas S. Hart Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,"1,171",85,7.3%,98,8.4%,"1,171",85,7.3%,98,8.4%,Y
2020-2021,01,75101,6002349,Alameda,Pleasanton Unified,Valley View Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,620,127,20.5%,139,22.4%,611,125,20.5%,137,22.4%,Y
2020-2021,01,75101,0130252,Alameda,Pleasanton Unified,Village High,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,106,33,31.1%,36,34.0%,73,24,32.9%,27,37.0%,Y
2020-2021,01,75101,6089361,Alameda,Pleasanton Unified,Vintage Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,630,37,5.9%,38,6.0%,615,36,5.9%,37,6.0%,Y
2020-2021,01,75101,6002356,Alameda,Pleasanton Unified,Walnut Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,661,23,3.5%,24,3.6%,650,21,3.2%,22,3.4%,Y
2020-2021,01,75119,6002711,Alameda,Sunol Glen Unified,Sunol Glen Elementary,Unified School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,273,25,9.2%,25,9.2%,272,25,9.2%,25,9.2%,Y
2020-2021,01,77180,0138289,Alameda,SBE - Latitude 37.8 High,Latitude 37.8 High,State Board of Education,High Schools In 1 School Dist. (Public),Traditional,N/A,Y,2015,Directly funded,N,9,12,143,70,49.0%,75,52.4%,141,70,49.6%,75,53.2%,Y
2020-2021,02,61333,0137125,Alpine,Alpine County Unified,Bear Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,8,18,2,11.1%,2,11.1%,17,1,5.9%,1,5.9%,Y
2020-2021,02,61333,6002794,Alpine,Alpine County Unified,Diamond Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,8,55,39,70.9%,43,78.2%,55,39,70.9%,43,78.2%,Y
2020-2021,03,10033,0330068,Amador,Amador County Office of Education,Amador County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,K,12,13,1,7.7%,1,7.7%,0,0,0.0%,0,0.0%,Y
2020-2021,03,10033,0330035,Amador,Amador County Office of Education,County Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,1,12,12,11,91.7%,11,91.7%,12,11,91.7%,11,91.7%,Y
2020-2021,03,73981,0330753,Amador,Amador County Unified,Amador High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,638,177,27.7%,191,29.9%,622,172,27.7%,186,29.9%,Y
2020-2021,03,73981,0334755,Amador,Amador County Unified,Argonaut High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,532,186,35.0%,196,36.8%,515,177,34.4%,187,36.3%,Y
2020-2021,03,73981,0330019,Amador,Amador County Unified,Independence High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,55,32,58.2%,33,60.0%,49,29,59.2%,30,61.2%,Y
2020-2021,03,73981,6002810,Amador,Amador County Unified,Ione Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,486,170,35.0%,188,38.7%,472,168,35.6%,186,39.4%,Y
2020-2021,03,73981,6107395,Amador,Amador County Unified,Ione Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,368,144,39.1%,163,44.3%,368,144,39.1%,163,44.3%,Y
2020-2021,03,73981,6002828,Amador,Amador County Unified,Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,440,207,47.0%,214,48.6%,431,202,46.9%,208,48.3%,Y
2020-2021,03,73981,6107387,Amador,Amador County Unified,Jackson Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,366,159,43.4%,165,45.1%,366,159,43.4%,165,45.1%,Y
2020-2021,03,73981,0000001,Amador,Amador County Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,2,25.0%,2,25.0%,8,2,25.0%,2,25.0%,Y
2020-2021,03,73981,0330050,Amador,Amador County Unified,North Star Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,66,28,42.4%,29,43.9%,63,26,41.3%,27,42.9%,Y
2020-2021,03,73981,6002844,Amador,Amador County Unified,Pine Grove Elementary STEM Magnet,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,224,108,48.2%,115,51.3%,223,107,48.0%,114,51.1%,Y
2020-2021,03,73981,6002851,Amador,Amador County Unified,Pioneer Magnet School for the Visual and Performing Arts,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,176,98,55.7%,99,56.3%,176,98,55.7%,99,56.3%,Y
2020-2021,03,73981,6002869,Amador,Amador County Unified,Plymouth Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,174,84,48.3%,93,53.4%,172,83,48.3%,92,53.5%,Y
2020-2021,03,73981,6002877,Amador,Amador County Unified,Sutter Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,356,117,32.9%,130,36.5%,351,117,33.3%,129,36.8%,Y
2020-2021,04,10041,0139493,Butte,Butte County Office of Education,BASES Learning Center,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,1,12,20,15,75.0%,15,75.0%,20,15,75.0%,15,75.0%,Y
2020-2021,04,10041,0129817,Butte,Butte County Office of Education,Butte County Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,K,12,47,39,83.0%,43,91.5%,44,37,84.1%,41,93.2%,Y
2020-2021,04,10041,6069256,Butte,Butte County Office of Education,Butte County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,K,12,62,39,62.9%,44,71.0%,58,37,63.8%,41,70.7%,Y
2020-2021,04,10041,0134213,Butte,Butte County Office of Education,Come Back Butte Charter,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,1811,Locally funded,N,9,12,50,41,82.0%,43,86.0%,12,9,75.0%,9,75.0%,Y
2020-2021,04,10041,0114991,Butte,Butte County Office of Education,CORE Butte Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,0945,Directly funded,Y,K,12,895,343,38.3%,392,43.8%,878,337,38.4%,385,43.8%,Y
2020-2021,04,10041,0430090,Butte,Butte County Office of Education,Hearthstone,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,0110,Locally funded,N,K,12,183,129,70.5%,142,77.6%,177,125,70.6%,138,78.0%,Y
2020-2021,04,10041,0430066,Butte,Butte County Office of Education,Table Mountain,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N ,N/A,N/A,N,K,12,8,8,100.0%,8,100.0%,6,6,100.0%,6,100.0%,Y
2020-2021,04,61382,6002919,Butte,Bangor Union Elementary,Bangor Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,CEP,N ,N/A,N/A,N,K,8,107,79,73.8%,82,76.6%,107,79,73.8%,82,76.6%,Y
2020-2021,04,61408,6002943,Butte,Biggs Unified,Biggs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,8,338,223,66.0%,229,67.8%,334,220,65.9%,226,67.7%,Y
2020-2021,04,61408,0430827,Butte,Biggs Unified,Biggs High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,187,110,58.8%,118,63.1%,181,108,59.7%,115,63.5%,Y
2020-2021,04,61408,6002950,Butte,Biggs Unified,Richvale Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,1,6,38,11,28.9%,11,28.9%,38,11,28.9%,11,28.9%,Y
2020-2021,04,61424,0111039,Butte,Chico Unified,Academy for Change,Unified School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,7,12,16,15,93.8%,15,93.8%,15,14,93.3%,14,93.3%,Y
2020-2021,04,61424,6057129,Butte,Chico Unified,Bidwell Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,920,371,40.3%,524,57.0%,920,371,40.3%,524,57.0%,Y
2020-2021,04,61424,6119523,Butte,Chico Unified,Blue Oak Charter,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,0415,Directly funded,Y,K,8,292,155,53.1%,158,54.1%,290,153,52.8%,156,53.8%,Y
2020-2021,04,61424,0123976,Butte,Chico Unified,Center for Alternative Learning,Unified School District,Opportunity Schools,Opportunity School,CEP,N ,N/A,N/A,N,6,12,30,25,83.3%,26,86.7%,29,25,86.2%,26,89.7%,Y
2020-2021,04,61424,6002968,Butte,Chico Unified,Chapman Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,292,244,83.6%,266,91.1%,287,240,83.6%,262,91.3%,Y
2020-2021,04,61424,6113773,Butte,Chico Unified,Chico Country Day,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,0112,Directly funded,Y,K,8,572,127,22.2%,143,25.0%,559,123,22.0%,139,24.9%,Y
2020-2021,04,61424,0431676,Butte,Chico Unified,Chico High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"1,780",606,34.0%,739,41.5%,"1,712",580,33.9%,712,41.6%,Y
2020-2021,04,61424,6057137,Butte,Chico Unified,Chico Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,837,446,53.3%,555,66.3%,837,446,53.3%,555,66.3%,Y
2020-2021,04,61424,6002976,Butte,Chico Unified,Citrus Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,315,247,78.4%,278,88.3%,308,242,78.6%,273,88.6%,Y
2020-2021,04,61424,6111116,Butte,Chico Unified,Emma Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,565,276,48.8%,360,63.7%,557,271,48.7%,355,63.7%,Y
2020-2021,04,61424,0431502,Butte,Chico Unified,Fair View High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,196,140,71.4%,151,77.0%,179,129,72.1%,139,77.7%,Y
2020-2021,04,61424,0118042,Butte,Chico Unified,Forest Ranch Charter,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,1019,Directly funded,Y,K,8,122,63,51.6%,64,52.5%,121,62,51.2%,63,52.1%,Y
2020-2021,04,61424,6003008,Butte,Chico Unified,Hooker Oak Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,N ,N/A,N/A,N,K,5,317,123,38.8%,141,44.5%,308,120,39.0%,138,44.8%,Y
2020-2021,04,61424,0120394,Butte,Chico Unified,Inspire School of Arts and Sciences,Unified School District,High Schools (Public),Traditional,Not Participating,Y,1114,Directly funded,Y,9,12,426,147,34.5%,154,36.2%,414,142,34.3%,149,36.0%,Y
2020-2021,04,61424,6109722,Butte,Chico Unified,Little Chico Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,400,228,57.0%,277,69.3%,391,221,56.5%,270,69.1%,Y
2020-2021,04,61424,0430215,Butte,Chico Unified,Loma Vista,Unified School District,Special Education Schools (Public),Special Education School,Not Participating,N ,N/A,N/A,N,P,12,14,4,28.6%,4,28.6%,0,0,0.0%,0,0.0%,Y
2020-2021,04,61424,6003032,Butte,Chico Unified,Marigold Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,452,117,25.9%,160,35.4%,446,114,25.6%,157,35.2%,Y
2020-2021,04,61424,6116610,Butte,Chico Unified,Marsh (Harry M.) Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,776,256,33.0%,307,39.6%,776,256,33.0%,307,39.6%,Y
2020-2021,04,61424,6003024,Butte,Chico Unified,McManus (John A.) Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,375,266,70.9%,312,83.2%,362,259,71.5%,304,84.0%,Y
2020-2021,04,61424,6003040,Butte,Chico Unified,Neal Dow Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,314,145,46.2%,171,54.5%,314,145,46.2%,171,54.5%,Y
2020-2021,04,61424,0000001,Butte,Chico Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.0%,0,0.0%,2,0,0.0%,0,0.0%,Y
2020-2021,04,61424,0110551,Butte,Chico Unified,Nord Country,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,0729,Directly funded,Y,K,8,184,50,27.2%,57,31.0%,184,50,27.2%,57,31.0%,Y
2020-2021,04,61424,0430199,Butte,Chico Unified,Oakdale,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,N ,N/A,N/A,N,K,12,607,297,48.9%,342,56.3%,597,291,48.7%,336,56.3%,Y
2020-2021,04,61424,6003073,Butte,Chico Unified,Parkview Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,344,117,34.0%,136,39.5%,339,116,34.2%,134,39.5%,Y
2020-2021,04,61424,0137828,Butte,Chico Unified,Pivot Charter School North Valley II,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1982,Directly funded,Y,6,12,118,67,56.8%,69,58.5%,109,62,56.9%,64,58.7%,Y
2020-2021,04,61424,0437558,Butte,Chico Unified,Pleasant Valley High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,"1,719",483,28.1%,570,33.2%,"1,681",468,27.8%,553,32.9%,Y
2020-2021,04,61424,6003081,Butte,Chico Unified,Rosedale Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,532,206,38.7%,245,46.1%,532,206,38.7%,245,46.1%,Y
2020-2021,04,61424,6003099,Butte,Chico Unified,Shasta Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,620,205,33.1%,230,37.1%,620,205,33.1%,230,37.1%,Y
2020-2021,04,61424,0121475,Butte,Chico Unified,Sherwood Montessori,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Y,1166,Directly funded,Y,K,8,122,75,61.5%,77,63.1%,122,75,61.5%,77,63.1%,Y
2020-2021,04,61424,6003107,Butte,Chico Unified,Sierra View Elementary,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,N ,N/A,N/A,N,K,5,488,101,20.7%,119,24.4%,488,101,20.7%,119,24.4%,Y
2020-2021,04,61424,0123810,Butte,Chico Unified,Wildflower Open Classroom,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1280,Directly funded,Y,K,8,162,47,29.0%,53,32.7%,162,47,29.0%,53,32.7%,Y
2020-2021,04,61432,6003115,Butte,Durham Unified,Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,445,197,44.3%,216,48.5%,432,194,44.9%,212,49.1%,Y
2020-2021,04,61432,0433201,Butte,Durham Unified,Durham High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,298,100,33.6%,114,38.3%,288,99,34.4%,113,39.2%,Y
2020-2021,04,61432,6105761,Butte,Durham Unified,Durham Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,248,96,38.7%,116,46.8%,248,96,38.7%,116,46.8%,Y
2020-2021,04,61457,6003131,Butte,Golden Feather Union Elementary,Concow Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,8,62,52,83.9%,53,85.5%,58,49,84.5%,50,86.2%,Y
2020-2021,04,61499,6003198,Butte,Manzanita Elementary,Manzanita Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,276,111,40.2%,124,44.9%,276,111,40.2%,124,44.9%,Y
2020-2021,04,61507,6003230,Butte,Oroville City Elementary,Central Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,5,8,337,275,81.6%,291,86.4%,337,275,81.6%,291,86.4%,Y
2020-2021,04,61507,0121509,Butte,Oroville City Elementary,Ipakanni Early College Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Y,1170,Directly funded,Y,K,12,92,61,66.3%,64,69.6%,90,59,65.6%,62,68.9%,Y
2020-2021,04,61507,0110072,Butte,Oroville City Elementary,Ishi Hills Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,339,240,70.8%,255,75.2%,339,240,70.8%,255,75.2%,Y
2020-2021,04,61507,6003255,Butte,Oroville City Elementary,Oakdale Heights Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,316,279,88.3%,289,91.5%,312,275,88.1%,285,91.3%,Y
2020-2021,04,61507,6003263,Butte,Oroville City Elementary,Ophir Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,374,186,49.7%,211,56.4%,371,185,49.9%,210,56.6%,Y
2020-2021,04,61507,6003271,Butte,Oroville City Elementary,Stanford Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,454,343,75.6%,362,79.7%,447,339,75.8%,356,79.6%,Y
2020-2021,04,61507,0129577,Butte,Oroville City Elementary,STREAM Charter,Elementary School District,Elementary Schools (Public),Traditional,N/A,Y,1616,Directly funded,Y,K,8,286,94,32.9%,112,39.2%,284,94,33.1%,112,39.4%,Y
2020-2021,04,61507,6094957,Butte,Oroville City Elementary,Wyandotte Academy,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,335,292,87.2%,311,92.8%,331,289,87.3%,307,92.7%,Y
2020-2021,04,61515,0434803,Butte,Oroville Union High,Las Plumas High,High School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,"1,245",740,59.4%,832,66.8%,"1,224",731,59.7%,822,67.2%,Y
2020-2021,04,61515,0435602,Butte,Oroville Union High,Oroville High,High School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,963,685,71.1%,752,78.1%,918,655,71.4%,718,78.2%,Y
2020-2021,04,61515,0430140,Butte,Oroville Union High,Oroville High Community Day,High School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,9,12,9,9,100.0%,9,100.0%,9,9,100.0%,9,100.0%,Y
2020-2021,04,61515,0437566,Butte,Oroville Union High,Prospect High (Continuation),High School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,117,103,88.0%,108,92.3%,98,87,88.8%,90,91.8%,Y
2020-2021,04,61523,0110510,Butte,Palermo Union Elementary,Golden Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,4,5,251,173,68.9%,191,76.1%,251,173,68.9%,191,76.1%,Y
2020-2021,04,61523,6003289,Butte,Palermo Union Elementary,Helen M. Wilcox Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,3,544,373,68.6%,422,77.6%,530,366,69.1%,411,77.5%,Y
2020-2021,04,61523,6089080,Butte,Palermo Union Elementary,Honcut,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,3,19,17,89.5%,17,89.5%,19,17,89.5%,17,89.5%,Y
2020-2021,04,61523,6003297,Butte,Palermo Union Elementary,Palermo,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,464,342,73.7%,369,79.5%,464,342,73.7%,369,79.5%,Y
2020-2021,04,61531,0110338,Butte,Paradise Unified,Achieve Charter School of Paradise Inc.,Unified School District,Elementary Schools (Public),Traditional,CEP,Y,0751,Directly funded,Y,K,8,216,72,33.3%,92,42.6%,216,72,33.3%,92,42.6%,Y
2020-2021,04,61531,6113526,Butte,Paradise Unified,Cedarwood Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,214,141,65.9%,158,73.8%,214,141,65.9%,158,73.8%,Y
2020-2021,04,61531,6113765,Butte,Paradise Unified,Children's Community Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Y,0094,Directly funded,Y,K,8,93,69,74.2%,71,76.3%,91,69,75.8%,71,78.0%,Y
2020-2021,04,61531,6112585,Butte,Paradise Unified,HomeTech Charter,Unified School District,K-12 Schools (Public),Traditional,CEP,Y,0067,Directly funded,Y,K,12,132,87,65.9%,109,82.6%,121,81,66.9%,100,82.6%,Y
2020-2021,04,61531,6112999,Butte,Paradise Unified,Paradise Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,Y,0079,Directly funded,Y,6,8,128,53,41.4%,61,47.7%,128,53,41.4%,61,47.7%,Y
2020-2021,04,61531,0121715,Butte,Paradise Unified,Paradise eLearning Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,12,178,113,63.5%,131,73.6%,174,110,63.2%,128,73.6%,Y
2020-2021,04,61531,6003321,Butte,Paradise Unified,Paradise Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N ,N/A,N/A,N,7,8,147,101,68.7%,111,75.5%,147,101,68.7%,111,75.5%,Y
2020-2021,04,61531,0139329,Butte,Paradise Unified,Paradise Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,315,174,55.2%,194,61.6%,312,171,54.8%,191,61.2%,Y
2020-2021,04,61531,0437350,Butte,Paradise Unified,Paradise Senior High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,440,211,48.0%,233,53.0%,428,203,47.4%,225,52.6%,Y
2020-2021,04,61531,6105522,Butte,Paradise Unified,Pine Ridge,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,P,6,184,140,76.1%,151,82.1%,180,137,76.1%,148,82.2%,Y
2020-2021,04,61531,0432856,Butte,Paradise Unified,Ridgeview High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,55,36,65.5%,38,69.1%,43,28,65.1%,30,69.8%,Y
2020-2021,04,61549,6121016,Butte,Thermalito Union Elementary,Heritage Community Day,Elementary School District,District Community Day Schools,Community Day School,CEP,N ,N/A,N/A,N,4,8,10,9,90.0%,10,100.0%,10,9,90.0%,10,100.0%,Y
2020-2021,04,61549,6003354,Butte,Thermalito Union Elementary,Nelson Avenue Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,444,338,76.1%,385,86.7%,444,338,76.1%,385,86.7%,Y
2020-2021,04,61549,0102327,Butte,Thermalito Union Elementary,Plumas Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,316,250,79.1%,282,89.2%,311,246,79.1%,277,89.1%,Y
2020-2021,04,61549,6003362,Butte,Thermalito Union Elementary,Poplar Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,330,230,69.7%,275,83.3%,325,226,69.5%,271,83.4%,Y
2020-2021,04,61549,6003370,Butte,Thermalito Union Elementary,Sierra Avenue Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,407,307,75.4%,354,87.0%,401,301,75.1%,348,86.8%,Y
2020-2021,04,73379,6002927,Butte,Pioneer Union Elementary,Berry Creek Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,8,52,52,100.0%,52,100.0%,52,52,100.0%,52,100.0%,Y
2020-2021,04,75507,0433946,Butte,Gridley Unified,Esperanza High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,51,44,86.3%,45,88.2%,49,42,85.7%,43,87.8%,Y
2020-2021,04,75507,0433953,Butte,Gridley Unified,Gridley High,Unified School District,High Schools (Public),Traditional,CEP,N ,N/A,N/A,N,9,12,673,409,60.8%,490,72.8%,657,399,60.7%,480,73.1%,Y
2020-2021,04,75507,6003156,Butte,Gridley Unified,McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,1,323,211,65.3%,247,76.5%,311,203,65.3%,237,76.2%,Y
2020-2021,04,75507,6003164,Butte,Gridley Unified,Sycamore Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,453,331,73.1%,376,83.0%,453,331,73.1%,376,83.0%,Y
2020-2021,04,75507,6003172,Butte,Gridley Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,2,5,580,402,69.3%,475,81.9%,580,402,69.3%,475,81.9%,Y
2020-2021,05,10058,6077150,Calaveras,Calaveras County Office of Education,Calaveras County Special Education (SELPA),County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,N ,N/A,N/A,N,P,Adult,11,5,45.5%,5,45.5%,0,0,0.0%,0,0.0%,Y
2020-2021,05,10058,0530048,Calaveras,Calaveras County Office of Education,Calaveras River Academy,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,6,12,19,15,78.9%,15,78.9%,16,14,87.5%,14,87.5%,Y
2020-2021,05,10058,0530154,Calaveras,Calaveras County Office of Education,Mountain Oaks,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,0527,Locally funded,Y,K,12,452,183,40.5%,183,40.5%,441,176,39.9%,176,39.9%,Y
2020-2021,05,10058,9010745,Calaveras,Calaveras County Office of Education,Oakendell Community,County Office of Education (COE),County Community,County Community School,N/A,N ,N/A,N/A,N,6,12,11,10,90.9%,10,90.9%,11,10,90.9%,10,90.9%,Y
2020-2021,05,61556,0532507,Calaveras,Bret Harte Union High,Bret Harte Union High,High School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,589,182,30.9%,191,32.4%,576,176,30.6%,185,32.1%,Y
