Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,19,64733,0124511,Los Angeles,Los Angeles Unified,Performing Arts Community at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,511,482,94.3%,497,97.3%,489,462,94.5%,476,97.3%,Y
2017-2018,19,64733,0124529,Los Angeles,Los Angeles Unified,Rancho Dominguez Preparatory,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,842,595,70.7%,699,83.0%,819,579,70.7%,680,83.0%,Y
2017-2018,19,64733,0124560,Los Angeles,Los Angeles Unified,Synergy Quantum Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1299,Directly funded,Y,9,12,567,528,93.1%,552,97.4%,542,504,93.0%,528,97.4%,Y
2017-2018,19,64733,0124784,Los Angeles,Los Angeles Unified,Aspire Slauson Academy Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1330,Directly funded,Y,K,6,341,340,99.7%,341,100.0%,340,339,99.7%,340,100.0%,Y
2017-2018,19,64733,0124792,Los Angeles,Los Angeles Unified,Aspire Juanita Tate Academy Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1331,Directly funded,Y,K,6,369,366,99.2%,367,99.5%,369,366,99.2%,367,99.5%,Y
2017-2018,19,64733,0124800,Los Angeles,Los Angeles Unified,Aspire Inskeep Academy Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1332,Directly funded,Y,K,6,341,338,99.1%,340,99.7%,325,322,99.1%,324,99.7%,Y
2017-2018,19,64733,0124818,Los Angeles,Los Angeles Unified,Los Angeles Leadership Primary Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1333,Directly funded,Y,K,5,361,250,69.3%,269,74.5%,360,249,69.2%,268,74.4%,Y
2017-2018,19,64733,0124826,Los Angeles,Los Angeles Unified,Camino Nuevo Charter Academy #4,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1334,Directly funded,Y,K,8,654,532,81.3%,590,90.2%,649,527,81.2%,585,90.1%,Y
2017-2018,19,64733,0124883,Los Angeles,Los Angeles Unified,Animo College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1342,Directly funded,Y,9,12,521,486,93.3%,507,97.3%,503,468,93.0%,489,97.2%,Y
2017-2018,19,64733,0124891,Los Angeles,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1343,Directly funded,Y,9,12,542,479,88.4%,513,94.6%,529,469,88.7%,502,94.9%,Y
2017-2018,19,64733,0124933,Los Angeles,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),Unified School District,High Schools (Public),Traditional,N/A,Yes,1354,Directly funded,Y,9,12,368,247,67.1%,250,67.9%,360,242,67.2%,245,68.1%,Y
2017-2018,19,64733,0124941,Los Angeles,Los Angeles Unified,Alliance Margaret M. Bloomfield Technology Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1356,Directly funded,Y,9,12,487,421,86.4%,455,93.4%,476,410,86.1%,444,93.3%,Y
2017-2018,19,64733,0125096,Los Angeles,Los Angeles Unified,Academy for Enriched Sciences,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,324,105,32.4%,120,37.0%,323,104,32.2%,119,36.8%,Y
2017-2018,19,64733,0125609,Los Angeles,Los Angeles Unified,KIPP Philosophers Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1378,Directly funded,Y,5,8,339,289,85.3%,315,92.9%,339,289,85.3%,315,92.9%,Y
2017-2018,19,64733,0125625,Los Angeles,Los Angeles Unified,KIPP Scholar Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1377,Directly funded,Y,5,8,392,325,82.9%,368,93.9%,392,325,82.9%,368,93.9%,Y
2017-2018,19,64733,0125641,Los Angeles,Los Angeles Unified,KIPP Sol Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1379,Directly funded,Y,5,8,504,379,75.2%,437,86.7%,504,379,75.2%,437,86.7%,Y
2017-2018,19,64733,0125864,Los Angeles,Los Angeles Unified,Ednovate - USC Hybrid High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1401,Directly funded,Y,9,12,518,367,70.8%,442,85.3%,510,360,70.6%,434,85.1%,Y
2017-2018,19,64733,0125971,Los Angeles,Los Angeles Unified,San Fernando Institute of Applied Media,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,410,343,83.7%,382,93.2%,410,343,83.7%,382,93.2%,Y
2017-2018,19,64733,0125989,Los Angeles,Los Angeles Unified,STEM Academy at Bernstein High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,565,502,88.8%,558,98.8%,550,489,88.9%,543,98.7%,Y
2017-2018,19,64733,0126136,Los Angeles,Los Angeles Unified,Math and Science College Preparatory,Unified School District,High Schools (Public),Traditional,N/A,Yes,1412,Directly funded,Y,9,12,541,463,85.6%,505,93.3%,528,451,85.4%,493,93.4%,Y
2017-2018,19,64733,0126169,Los Angeles,Los Angeles Unified,Equitas Academy #2,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1402,Directly funded,Y,5,8,390,349,89.5%,380,97.4%,390,349,89.5%,380,97.4%,Y
2017-2018,19,64733,0126177,Los Angeles,Los Angeles Unified,Citizens of the World 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1413,Directly funded,Y,K,8,776,290,37.4%,341,43.9%,764,286,37.4%,336,44.0%,Y
2017-2018,19,64733,0126193,Los Angeles,Los Angeles Unified,Citizens of the World 3,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1414,Directly funded,Y,K,5,594,122,20.5%,150,25.3%,576,121,21.0%,149,25.9%,Y
2017-2018,19,64733,0126375,Los Angeles,Los Angeles Unified,Sally Ride Elementary: A SMArT Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,560,522,93.2%,537,95.9%,552,516,93.5%,531,96.2%,Y
2017-2018,19,64733,0126383,Los Angeles,Los Angeles Unified,Playa Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,578,73,12.6%,87,15.1%,569,72,12.7%,86,15.1%,Y
2017-2018,19,64733,0126391,Los Angeles,Los Angeles Unified,Lucille Roybal-Allard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,615,521,84.7%,552,89.8%,583,502,86.1%,532,91.3%,Y
2017-2018,19,64733,0126409,Los Angeles,Los Angeles Unified,Willow Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,550,458,83.3%,512,93.1%,540,449,83.1%,502,93.0%,Y
2017-2018,19,64733,0126417,Los Angeles,Los Angeles Unified,Marguerite Poindexter LaMotte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,523,494,94.5%,506,96.7%,518,489,94.4%,501,96.7%,Y
2017-2018,19,64733,0126425,Los Angeles,Los Angeles Unified,"Gerald A. Lawson Academy of the Arts, Mathematics and Science",Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,624,563,90.2%,585,93.8%,612,551,90.0%,573,93.6%,Y
2017-2018,19,64733,0126433,Los Angeles,Los Angeles Unified,"Dr. Lawrence H. Moore Math, Science, Technology Academy",Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,696,667,95.8%,678,97.4%,683,654,95.8%,665,97.4%,Y
2017-2018,19,64733,0126441,Los Angeles,Los Angeles Unified,Michelle Obama Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,788,726,92.1%,747,94.8%,768,709,92.3%,730,95.1%,Y
2017-2018,19,64733,0126458,Los Angeles,Los Angeles Unified,Walnut Park Middle A School of Social Justice and Service Learning,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,517,446,86.3%,490,94.8%,517,446,86.3%,490,94.8%,Y
2017-2018,19,64733,0126466,Los Angeles,Los Angeles Unified,"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy",Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,534,467,87.5%,505,94.6%,534,467,87.5%,505,94.6%,Y
2017-2018,19,64733,0126474,Los Angeles,Los Angeles Unified,"Hilda L. Solis Learning Academy School of Technology, Business and Education",Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,266,241,90.6%,253,95.1%,259,234,90.3%,246,95.0%,Y
2017-2018,19,64733,0126482,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High A Critical Design and Gaming,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,531,445,83.8%,462,87.0%,502,424,84.5%,441,87.8%,Y
2017-2018,19,64733,0126490,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High B Community Health Advocates,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,447,399,89.3%,414,92.6%,406,365,89.9%,378,93.1%,Y
2017-2018,19,64733,0126508,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,377,329,87.3%,340,90.2%,347,306,88.2%,315,90.8%,Y
2017-2018,19,64733,0126516,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,752,657,87.4%,691,91.9%,736,641,87.1%,675,91.7%,Y
2017-2018,19,64733,0126524,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High B LIBRA Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,685,590,86.1%,650,94.9%,677,583,86.1%,642,94.8%,Y
2017-2018,19,64733,0126532,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High C School of Social Justice,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,655,574,87.6%,620,94.7%,643,564,87.7%,609,94.7%,Y
2017-2018,19,64733,0126540,Los Angeles,Los Angeles Unified,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,585,446,76.2%,530,90.6%,570,432,75.8%,515,90.4%,Y
2017-2018,19,64733,0126557,Los Angeles,Los Angeles Unified,Visual and Performing Arts at Legacy High School Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,475,347,73.1%,387,81.5%,459,337,73.4%,376,81.9%,Y
2017-2018,19,64733,0126573,Los Angeles,Los Angeles Unified,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,707,654,92.5%,663,93.8%,679,630,92.8%,639,94.1%,Y
2017-2018,19,64733,0126581,Los Angeles,Los Angeles Unified,Harry Bridges Span,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,1212,1022,84.3%,1125,92.8%,1197,1012,84.5%,1113,93.0%,Y
2017-2018,19,64733,0126599,Los Angeles,Los Angeles Unified,Sylmar Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,912,657,72.0%,771,84.5%,903,651,72.1%,764,84.6%,Y
2017-2018,19,64733,0126607,Los Angeles,Los Angeles Unified,Porter Ranch Community,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,1168,143,12.2%,168,14.4%,1149,141,12.3%,166,14.4%,Y
2017-2018,19,64733,0126615,Los Angeles,Los Angeles Unified,Academies of Education and Empowerment at Carson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,561,338,60.2%,414,73.8%,535,318,59.4%,393,73.5%,Y
2017-2018,19,64733,0126623,Los Angeles,Los Angeles Unified,Academy of Medical Arts at Carson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,506,271,53.6%,326,64.4%,488,261,53.5%,316,64.8%,Y
2017-2018,19,64733,0126797,Los Angeles,Los Angeles Unified,Aspire Centennial College Preparatory Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1436,Directly funded,Y,6,8,545,462,84.8%,503,92.3%,545,462,84.8%,503,92.3%,Y
2017-2018,19,64733,0127217,Los Angeles,Los Angeles Unified,Alliance Alice M. Baxter College-Ready High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1460,Directly funded,Y,9,12,342,234,68.4%,263,76.9%,336,232,69.0%,258,76.8%,Y
2017-2018,19,64733,0127670,Los Angeles,Los Angeles Unified,KIPP Iluminar Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1508,Directly funded,Y,K,4,560,421,75.2%,496,88.6%,556,418,75.2%,493,88.7%,Y
2017-2018,19,64733,0127787,Los Angeles,Los Angeles Unified,Humanities and Arts (HARTS) Academy of Los Angeles,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,489,368,75.3%,418,85.5%,464,351,75.6%,396,85.3%,Y
2017-2018,19,64733,0127795,Los Angeles,Los Angeles Unified,Contreras Learning Center-School of Social Justice,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,454,418,92.1%,435,95.8%,426,395,92.7%,409,96.0%,Y
2017-2018,19,64733,0127803,Los Angeles,Los Angeles Unified,Early College Academy-LA Trade Tech College,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,187,168,89.8%,176,94.1%,125,113,90.4%,119,95.2%,Y
2017-2018,19,64733,0127829,Los Angeles,Los Angeles Unified,Studio,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,282,245,86.9%,268,95.0%,282,245,86.9%,268,95.0%,Y
2017-2018,19,64733,0127852,Los Angeles,Los Angeles Unified,Executive Preparatory Academy of Finance,Unified School District,High Schools (Public),Traditional,N/A,Yes,1525,Directly funded,Y,9,12,203,135,66.5%,151,74.4%,192,129,67.2%,144,75.0%,Y
2017-2018,19,64733,0127878,Los Angeles,Los Angeles Unified,Pathways Community,Unified School District,High Schools (Public),Traditional,N/A,Yes,1537,Directly funded,Y,9,12,359,335,93.3%,352,98.1%,345,322,93.3%,338,98.0%,Y
2017-2018,19,64733,0127886,Los Angeles,Los Angeles Unified,City Language Immersion Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1538,Directly funded,Y,K,5,360,146,40.6%,171,47.5%,354,146,41.2%,171,48.3%,Y
2017-2018,19,64733,0127894,Los Angeles,Los Angeles Unified,Valor Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1539,Directly funded,Y,9,12,473,370,78.2%,432,91.3%,458,359,78.4%,418,91.3%,Y
2017-2018,19,64733,0127910,Los Angeles,Los Angeles Unified,Camino Nuevo High #2,Unified School District,High Schools (Public),Traditional,N/A,Yes,1540,Directly funded,Y,9,12,462,427,92.4%,445,96.3%,448,413,92.2%,431,96.2%,Y
2017-2018,19,64733,0127936,Los Angeles,Los Angeles Unified,PREPA TEC - Los Angeles,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1542,Directly funded,Y,6,8,420,339,80.7%,375,89.3%,420,339,80.7%,375,89.3%,Y
2017-2018,19,64733,0127977,Los Angeles,Los Angeles Unified,Metro Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1535,Directly funded,Y,K,5,187,129,69.0%,138,73.8%,179,124,69.3%,133,74.3%,Y
2017-2018,19,64733,0127985,Los Angeles,Los Angeles Unified,Ingenium Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1536,Directly funded,Y,6,8,216,183,84.7%,206,95.4%,216,183,84.7%,206,95.4%,Y
2017-2018,19,64733,0128009,Los Angeles,Los Angeles Unified,Alliance Leadership Middle Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1530,Directly funded,Y,6,8,417,364,87.3%,395,94.7%,417,364,87.3%,395,94.7%,Y
2017-2018,19,64733,0128025,Los Angeles,Los Angeles Unified,Lashon Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1560,Directly funded,Y,K,6,344,232,67.4%,259,75.3%,334,228,68.3%,253,75.7%,Y
2017-2018,19,64733,0128033,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 8,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1531,Directly funded,Y,6,8,440,373,84.8%,410,93.2%,440,373,84.8%,410,93.2%,Y
2017-2018,19,64733,0128041,Los Angeles,Los Angeles Unified,Alliance Kory Hunter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1532,Directly funded,Y,6,8,445,412,92.6%,437,98.2%,445,412,92.6%,437,98.2%,Y
2017-2018,19,64733,0128058,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 12,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1533,Directly funded,Y,6,8,441,401,90.9%,427,96.8%,441,401,90.9%,427,96.8%,Y
2017-2018,19,64733,0128116,Los Angeles,Los Angeles Unified,Global Education Academy Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1561,Directly funded,Y,6,8,62,57,91.9%,59,95.2%,62,57,91.9%,59,95.2%,Y
2017-2018,19,64733,0128132,Los Angeles,Los Angeles Unified,Extera Public School No. 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1562,Directly funded,Y,K,5,412,402,97.6%,405,98.3%,404,395,97.8%,397,98.3%,Y
2017-2018,19,64733,0128371,Los Angeles,Los Angeles Unified,New Horizons Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1567,Directly funded,Y,K,8,305,158,51.8%,160,52.5%,303,158,52.1%,160,52.8%,Y
2017-2018,19,64733,0128389,Los Angeles,Los Angeles Unified,"Ivy Bound Academy Math, Science, and Technology Charter Middle 2",Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1570,Directly funded,Y,5,8,141,92,65.2%,105,74.5%,141,92,65.2%,105,74.5%,Y
2017-2018,19,64733,0128512,Los Angeles,Los Angeles Unified,KIPP Academy of Innovation,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1586,Directly funded,Y,5,8,474,360,75.9%,433,91.4%,474,360,75.9%,433,91.4%,Y
2017-2018,19,64733,0128710,Los Angeles,Los Angeles Unified,Dr. Sammy Lee Medical and Health Science Magnet Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,648,533,82.3%,595,91.8%,647,532,82.2%,594,91.8%,Y
2017-2018,19,64733,0129270,Los Angeles,Los Angeles Unified,Animo Mae Jemison Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1624,Directly funded,Y,6,8,494,434,87.9%,472,95.5%,494,434,87.9%,472,95.5%,Y
2017-2018,19,64733,0129460,Los Angeles,Los Angeles Unified,KIPP Vida Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1587,Directly funded,Y,K,4,564,482,85.5%,538,95.4%,554,475,85.7%,529,95.5%,Y
2017-2018,19,64733,0129536,Los Angeles,Los Angeles Unified,Boyle Heights STEM High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,228,181,79.4%,209,91.7%,223,177,79.4%,205,91.9%,Y
2017-2018,19,64733,0129585,Los Angeles,Los Angeles Unified,NAVA College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,774,720,93.0%,750,96.9%,754,701,93.0%,731,96.9%,Y
2017-2018,19,64733,0129593,Los Angeles,Los Angeles Unified,PUC Inspire Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1626,Directly funded,Y,6,8,299,222,74.2%,252,84.3%,299,222,74.2%,252,84.3%,Y
2017-2018,19,64733,0129619,Los Angeles,Los Angeles Unified,PUC Community Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1657,Directly funded,Y,K,5,313,211,67.4%,234,74.8%,311,210,67.5%,233,74.9%,Y
2017-2018,19,64733,0129627,Los Angeles,Los Angeles Unified,TEACH Tech Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1658,Directly funded,Y,9,12,282,254,90.1%,263,93.3%,274,247,90.1%,255,93.1%,Y
2017-2018,19,64733,0129650,Los Angeles,Los Angeles Unified,Equitas Academy #3 Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1669,Directly funded,Y,K,4,272,240,88.2%,255,93.8%,262,232,88.5%,245,93.5%,Y
2017-2018,19,64733,0129825,Los Angeles,Los Angeles Unified,Clemente Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1640,Directly funded,Y,K,6,318,281,88.4%,305,95.9%,302,266,88.1%,290,96.0%,Y
2017-2018,19,64733,0129833,Los Angeles,Los Angeles Unified,Global Education Academy 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1641,Directly funded,Y,K,5,143,120,83.9%,133,93.0%,140,117,83.6%,130,92.9%,Y
2017-2018,19,64733,0129858,Los Angeles,Los Angeles Unified,Everest Value,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1638,Directly funded,Y,K,8,250,213,85.2%,232,92.8%,249,213,85.5%,231,92.8%,Y
2017-2018,19,64733,0129866,Los Angeles,Los Angeles Unified,Village Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1639,Directly funded,Y,K,5,280,201,71.8%,228,81.4%,264,190,72.0%,215,81.4%,Y
2017-2018,19,64733,0129874,Los Angeles,Los Angeles Unified,Community Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1656,Directly funded,Y,K,8,262,231,88.2%,235,89.7%,261,230,88.1%,234,89.7%,Y
2017-2018,19,64733,0130997,Los Angeles,Los Angeles Unified,Sylmar Biotech Health Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,250,240,96.0%,245,98.0%,244,234,95.9%,239,98.0%,Y
2017-2018,19,64733,0131466,Los Angeles,Los Angeles Unified,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1605,Directly funded,Y,K,5,301,208,69.1%,256,85.0%,299,207,69.2%,255,85.3%,Y
2017-2018,19,64733,0131722,Los Angeles,Los Angeles Unified,Fenton Charter Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1613,Directly funded,Y,K,5,288,178,61.8%,225,78.1%,273,168,61.5%,213,78.0%,Y
2017-2018,19,64733,0131771,Los Angeles,Los Angeles Unified,KIPP Ignite Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1720,Directly funded,Y,K,4,347,297,85.6%,329,94.8%,338,289,85.5%,320,94.7%,Y
2017-2018,19,64733,0131797,Los Angeles,Los Angeles Unified,KIPP Promesa Prep,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1721,Directly funded,Y,K,4,336,262,78.0%,308,91.7%,326,255,78.2%,300,92.0%,Y
2017-2018,19,64733,0131821,Los Angeles,Los Angeles Unified,Collegiate Charter High of Los Angeles,Unified School District,High Schools (Public),Traditional,N/A,Yes,1722,Directly funded,Y,9,12,136,108,79.4%,118,86.8%,136,108,79.4%,118,86.8%,Y
2017-2018,19,64733,0131839,Los Angeles,Los Angeles Unified,Summit Preparatory Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1615,Directly funded,Y,4,8,177,146,82.5%,148,83.6%,177,146,82.5%,148,83.6%,Y
2017-2018,19,64733,0131847,Los Angeles,Los Angeles Unified,Public Policy Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1703,Directly funded,Y,5,8,139,126,90.6%,135,97.1%,139,126,90.6%,135,97.1%,Y
2017-2018,19,64733,0131870,Los Angeles,Los Angeles Unified,Resolute Academy Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1642,Directly funded,Y,5,8,243,218,89.7%,226,93.0%,243,218,89.7%,226,93.0%,Y
2017-2018,19,64733,0131904,Los Angeles,Los Angeles Unified,Libertas College Preparatory Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1711,Directly funded,Y,4,8,220,199,90.5%,208,94.5%,220,199,90.5%,208,94.5%,Y
2017-2018,19,64733,0132027,Los Angeles,Los Angeles Unified,University Preparatory Value High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1723,Directly funded,Y,9,12,341,288,84.5%,311,91.2%,335,285,85.1%,307,91.6%,Y
2017-2018,19,64733,0132084,Los Angeles,Los Angeles Unified,Alliance Marine - Innovation and Technology 6-12 Complex,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1738,Directly funded,Y,6,12,558,429,76.9%,499,89.4%,558,429,76.9%,499,89.4%,Y
2017-2018,19,64733,0132126,Los Angeles,Los Angeles Unified,Bert Corona Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1724,Directly funded,Y,9,12,203,150,73.9%,164,80.8%,201,150,74.6%,163,81.1%,Y
2017-2018,19,64733,0132282,Los Angeles,Los Angeles Unified,Ednovate - USC East College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1702,Directly funded,Y,9,12,284,211,74.3%,247,87.0%,284,211,74.3%,247,87.0%,Y
2017-2018,19,64733,0133272,Los Angeles,Los Angeles Unified,PUC Triumph Charter Academy and PUC Triumph Charter High,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0797,Directly funded,Y,6,12,778,549,70.6%,621,79.8%,770,543,70.5%,615,79.9%,Y
2017-2018,19,64733,0133280,Los Angeles,Los Angeles Unified,PUC Nueva Esperanza Charter Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1092,Directly funded,Y,6,12,541,353,65.2%,381,70.4%,541,353,65.2%,381,70.4%,Y
2017-2018,19,64733,0133298,Los Angeles,Los Angeles Unified,PUC CALS Middle School and Early College High,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0331,Directly funded,Y,6,12,563,444,78.9%,493,87.6%,556,438,78.8%,487,87.6%,Y
2017-2018,19,64733,0133603,Los Angeles,Los Angeles Unified,Girls Academic Leadership Academy (GALA),Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,319,132,41.4%,151,47.3%,319,132,41.4%,151,47.3%,Y
2017-2018,19,64733,0133686,Los Angeles,Los Angeles Unified,Equitas Academy 4,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1785,Directly funded,Y,5,8,76,68,89.5%,72,94.7%,76,68,89.5%,72,94.7%,Y
